fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.anaerobic_digestion_oxidation.capital_a_parameter[default],fs.costing.anaerobic_digestion_oxidation.capital_b_parameter[default],fs.costing.anaerobic_digestion_oxidation.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[AnaerobicDigestionOxidationZO],fs.costing.LCOW_aggregate_indirect_capex[AnaerobicDigestionOxidationZO],fs.costing.LCOW_aggregate_fixed_opex[AnaerobicDigestionOxidationZO],fs.costing.LCOW_aggregate_variable_opex[AnaerobicDigestionOxidationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2317014.4116156944,0.0,0.0,2.366118953236499,1620.9036089624938,2436340.6538139028,36144.41834203635,19355231.2,0.6,911.054,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,2.366118953236499,0.15,2317014.4116156944,1.0515,0.014900000000000002,2317014.4116156944,34523.51473307385,34523.51473307385,1620.9036089624938,194631.87421705,3475.5216174235416,115850.72058078472,2317.0144116156944,2085.312970454125,18536.115292925555,6951.043234847083,4634.028823231389,1.4075608637967443,1.0900309649104625,0.05613659469288889,0.24967106962549182,0.011722234567901233,1.0900309649104625,0.05613659469288889,0.24967106962549182,0.011722234567901233,0.011722234567901233,0.15,0.15,1.0,2317014.4116156944,0.1,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8826426.475537835,0.0,0.0,21.98518860715581,15060.896033276511,9280987.439028034,146574.65051879024,19355231.2,0.6,911.054,40.70924131134258,0.004070924131134258,40.705170387211446,0.0036638317180208305,0.004070924131139485,0.00040709241311342586,0.9999,0.1,21.98518860715581,0.15,8826426.475537835,1.0515,0.014900000000000002,8826426.475537835,131513.75448551375,131513.75448551375,15060.896033276511,750316.2023895846,13239.639713306753,441321.32377689175,8826.426475537835,7943.783827984052,70611.41180430268,26479.279426613506,17652.85295107567,0.58398799812936,0.44689077188295206,0.023014874751972052,0.10236011692653464,0.011722234567901234,0.44689077188295206,0.023014874751972052,0.10236011692653464,0.011722234567901234,0.011722234567901234,0.15,0.15,1.0,8826426.475537835,0.9291666666666666,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12941644.345202662,0.0,0.0,41.60425826107511,28500.888457590518,13608139.0289806,221331.3892011102,19355231.2,0.6,911.054,77.03721898379627,0.007703721898379629,77.02951526189788,0.006933349708541664,0.007703721898370192,0.0007703721898379629,0.9999,0.1,41.60425826107511,0.15,12941644.345202662,1.0515,0.014900000000000002,12941644.345202662,192830.5007435197,192830.5007435197,28500.888457590518,1106560.3618082195,19412.466517803994,647082.2172601331,12941.644345202661,11647.479910682398,103533.15476162129,38824.93303560799,25883.288690405323,0.4551212550429458,0.3462568322785171,0.017832226862343682,0.07930996133418386,0.011722234567901233,0.3462568322785171,0.017832226862343682,0.07930996133418386,0.011722234567901233,0.011722234567901233,0.15,0.15,1.0,12941644.345202662,1.7583333333333333,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,16317625.070875032,0.0,0.0,61.22332791499442,41940.88088190454,17157982.7620251,285073.4944379425,19355231.2,0.6,911.054,113.36519665624996,0.011336519665624998,113.35386013658434,0.010202867699062496,0.011336519665609534,0.0011336519665625,0.9999,0.1,61.22332791499442,0.15,16317625.070875032,1.0515,0.014900000000000002,16317625.070875032,243132.613556038,243132.613556038,41940.88088190454,1401224.8961903227,24476.43760631255,815881.2535437517,16317.625070875032,14685.86256378753,130541.00056700026,48952.8752126251,32635.250141750064,0.3916342854547154,0.2966789217160817,0.015278964468378288,0.06795416470235423,0.011722234567901233,0.2966789217160817,0.015278964468378288,0.06795416470235423,0.011722234567901233,0.011722234567901233,0.15,0.15,1.0,16317625.070875032,2.5875,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,19279257.38998157,0.0,0.0,80.84239756891371,55380.87330621854,20272139.14556562,342641.808416944,19355231.2,0.6,911.054,149.69317432870363,0.014969317432870366,149.67820501127076,0.013472385689583335,0.01496931743288792,0.0014969317432870367,0.9999,0.1,80.84239756891371,0.15,19279257.38998157,1.0515,0.014900000000000002,19279257.38998157,287260.93511072546,287260.93511072546,55380.87330621854,1661373.5519830394,28918.886084972357,963962.8694990786,19279.257389981572,17351.331650983415,154234.05911985258,57837.772169944714,38558.514779963145,0.35165589342675924,0.26545920596578965,0.01367114910723821,0.06080330378583018,0.011722234567901234,0.26545920596578965,0.01367114910723821,0.06080330378583018,0.011722234567901234,0.011722234567901234,0.15,0.15,1.0,19279257.38998157,3.4166666666666665,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,21963750.43954184,0.0,0.0,100.46146722283302,68820.86573053256,23094883.587178245,396080.74727970595,19355231.2,0.6,911.054,186.02115200115733,0.018602115200115732,186.00254988595722,0.016741903680104156,0.018602115200090363,0.0018602115200115736,0.9999,0.1,100.46146722283302,0.15,21963750.43954184,1.0515,0.014900000000000002,21963750.43954184,327259.88154917344,327259.88154917344,68820.86573053256,1898436.0676375765,32945.62565931276,1098187.521977092,21963.75043954184,19767.375395587656,175710.00351633472,65891.25131862552,43927.50087908368,0.3233599673701675,0.24336250013128938,0.012533168756761436,0.05574206391421543,0.011722234567901233,0.24336250013128938,0.012533168756761436,0.05574206391421543,0.011722234567901233,0.011722234567901234,0.15,0.15,1.0,21963750.43954184,4.245833333333333,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,24445018.091745693,0.0,0.0,120.0805368767523,82260.85815484656,25703936.5234706,446491.6277218574,19355231.2,0.6,911.054,222.349129673611,0.022234912967361103,222.32689476064365,0.020011421670624994,0.022234912967330774,0.0022234912967361107,0.9999,0.1,120.0805368767523,0.15,24445018.091745693,1.0515,0.014900000000000002,24445018.091745693,364230.76956701087,364230.76956701087,82260.85815484656,2118569.5857859547,36667.52713761854,1222250.9045872847,24445.018091745693,22000.516282571127,195560.14473396554,73335.05427523708,48890.036183491386,0.301897769972889,0.22660235375894047,0.011670021218585458,0.051903160427461834,0.011722234567901233,0.22660235375894047,0.011670021218585458,0.051903160427461834,0.011722234567901233,0.011722234567901233,0.15,0.15,1.0,24445018.091745693,5.074999999999999,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,26768491.645368937,0.0,0.0,139.69960653067162,95700.85057916056,28147068.96510544,494551.37609515776,19355231.2,0.6,911.054,258.6771073460647,0.025867710734606475,258.6512396353301,0.02328093966114583,0.02586771073457119,0.002586771073460648,0.9999,0.1,139.69960653067162,0.15,26768491.645368937,1.0515,0.014900000000000002,26768491.645368937,398850.5255159972,398850.5255159972,95700.85057916056,2325558.6055787816,40152.737468053405,1338424.582268447,26768.491645368937,24091.642480832044,214147.9331629515,80305.47493610681,53536.98329073787,0.2848537218950484,0.21329240532848834,0.010984558874417167,0.048854523124241656,0.011722234567901231,0.21329240532848834,0.010984558874417167,0.048854523124241656,0.011722234567901231,0.011722234567901231,0.15,0.15,1.0,26768491.645368937,5.904166666666666,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,28964551.221751224,0.0,0.0,159.31867618459088,109140.84300347454,30456225.609671414,540712.6562075678,19355231.2,0.6,911.054,295.00508501851834,0.029500508501851843,294.9755845100165,0.02655045765166666,0.0295005085018116,0.0029500508501852027,0.9999,0.1,159.31867618459088,0.15,28964551.221751224,1.0515,0.014900000000000002,28964551.221751224,431571.8132040933,431571.8132040933,109140.84300347454,2521933.839245364,43446.82683262684,1448227.5610875613,28964.551221751226,26068.096099576105,231716.4097740098,86893.65366525367,57929.10244350245,0.27086743344488123,0.2023703064729248,0.010422070783355624,0.0463528216206996,0.011722234567901233,0.2023703064729248,0.010422070783355624,0.0463528216206996,0.011722234567901233,0.011722234567901231,0.15,0.15,1.0,28964551.221751224,6.7333333333333325,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,31054745.01392561,0.0,0.0,178.93774583851024,122580.8354277886,32654064.38214278,585296.5361352803,19355231.2,0.6,911.054,331.3330626909721,0.03313330626909721,331.299929384703,0.029819975642187486,0.03313330626912294,0.0033133306269097318,0.9999,0.1,178.93774583851024,0.15,31054745.01392561,1.0515,0.014900000000000002,31054745.01392561,462715.7007074916,462715.7007074916,122580.8354277886,2709490.2853974123,46582.117520888416,1552737.2506962805,31054.74501392561,27949.27051253305,248437.9601114049,93164.23504177683,62109.49002785122,0.2591047823588088,0.19318467881885978,0.009949010959171282,0.0442488580128765,0.011722234567901233,0.19318467881885978,0.009949010959171282,0.0442488580128765,0.011722234567901233,0.011722234567901233,0.15,0.15,1.0,31054745.01392561,7.562499999999999,default,AnaerobicDigestionOxidationZO,anaerobic_digestion_oxidation
